hash,mode,max_iters,wlhash,stabilized_at,cpu_time_s,max_mem_kib,local,isohash,family,result,track,clauses,variables,bytes,cls1,cls2,cls3,cls4,cls5,cls6,cls7,cls8,cls9,cls10p,horn,invhorn,positive,negative
7feba2ee61c0b8ae228d3b3f30a532fa,nomode,9,77b1f8d02577dfcb,NA,0.009414,3072,/nfs/share/instances/gbd/cnf/7feba2ee61c0b8ae228d3b3f30a532fa-unif-r4.25-v700-c2975-01-S771644789.shuffled-as.sat03-1120.cnf.xz,d98deac0f43efd59cd0f4c8be5645858,uniform-random,unknown,random_2003,2975,700,44708,0,0,2975,0,0,0,0,0,0,0,1511,1464,393,386
05833c2c6953b76638748b3b5152b17f,nomode,9,68fd6a7e113b73a6,NA,1.32686,64576,/nfs/share/instances/gbd/cnf/05833c2c6953b76638748b3b5152b17f-57-120887.cnf.xz,da6dbf0a318592bdd2a0f055a111145c,station-repacking,unknown,None,728684,29858,11228644,3,727291,2,1,5,3,0,9,3,1367,727294,1393,1393,727291
e581ee4207cdf4d3eb3b205f24a6c20d,nomode,9,5ef122bbe5ceb4c3,NA,1.07288,58788,/nfs/share/instances/gbd/cnf/e581ee4207cdf4d3eb3b205f24a6c20d-52-121589.cnf.xz,13e15dd8c4159a6219e4fd3160bd73b3,station-repacking,unknown,None,632573,27697,9718557,3,631287,1,1,4,2,0,8,3,1264,631290,1286,1286,631287
758f9ed67b4d2068c209157335e07266,nomode,9,1123efa996d73d38,NA,0.029062,7680,/nfs/share/instances/gbd/cnf/758f9ed67b4d2068c209157335e07266-or_randxor_k3_n640_m640.cnf.xz,c7fc4123209b849824c25a31aa13850a,or_randxor,unsat,main_2023,8636,1280,175972,0,0,2528,3888,1896,324,0,0,0,0,2528,2220,324,2528
5964d1717c97631e3cba707e94e5c280,nomode,9,e80de011b1611435,NA,14.7681,400456,/nfs/share/instances/gbd/cnf/5964d1717c97631e3cba707e94e5c280-bench_9798.smt2.cnf.xz,f2fb0d225329a2e9581d809313e1416a,agile,unsat,agile_2017,4646841,1284444,106147756,1572,1179676,3390104,75406,1,0,3,55,0,24,2055179,3256578,694354,686991
759a92376b5af1d691f79abe1e49bac4,nomode,9,a1bc9620164282ef,NA,0.009977,6144,/nfs/share/instances/gbd/cnf/759a92376b5af1d691f79abe1e49bac4-glassybp-v699-s1749191955.cnf.xz,ecc8b0c3be3e624a4bd4f486f50ee9c2,glassy-gen,unknown,random_2002,3262,699,48990,0,0,3262,0,0,0,0,0,0,0,1643,1619,409,380
912b89dd471295d3c72c66d0192dff72,nomode,9,616e043135a67f09,NA,0.008227,6144,/nfs/share/instances/gbd/cnf/912b89dd471295d3c72c66d0192dff72-randomG-B-Mix-n18-d05.cnf.xz,54ec8473445befcc89bb6036a622473c,perfect-matching,unsat,anni_2022,1117,511,13471,0,1080,0,0,1,2,5,4,8,17,1080,372,37,745
3778cf8ec4fe105dc46958a869238c69,nomode,9,c222cb128549d6a2,NA,0.036639,7680,/nfs/share/instances/gbd/cnf/3778cf8ec4fe105dc46958a869238c69-fdmus_b21_167.cnf.xz,83f5b6c878524fcb120ff1b073514322,fdmus,unsat,anni_2022,11806,4272,167107,6,8134,3666,0,0,0,0,0,0,0,9142,6913,1231,3890
9b8a723518a7ee741791b344d9ddf02b,nomode,9,fbed07f78cf265d4,NA,1.45212,74256,/nfs/share/instances/gbd/cnf/9b8a723518a7ee741791b344d9ddf02b-43-134752.cnf.xz,a5bf055a02d167c7174125fdc82b72e3,station-repacking,unknown,None,835445,32047,12905075,3,833952,1,1,5,2,0,9,4,1468,833955,1493,1493,833952
d343a7f045896d6d3b0465c455263d22,nomode,9,76d4b4b60f7c7651,NA,0.009909,4608,/nfs/share/instances/gbd/cnf/d343a7f045896d6d3b0465c455263d22-unif-k5-r21.117-v126-c2661-S5311674435222390933.cnf.xz,180af05e7516e540a95626558948879a,uniform-random,unsat,random_2013,2661,126,53557,0,0,0,0,2661,0,0,0,0,0,496,501,98,94
775117ca15109a11d0594ccc2c6e2132,nomode,9,5ed2df13dd69ae18,NA,1.20041,63652,/nfs/share/instances/gbd/cnf/775117ca15109a11d0594ccc2c6e2132-60-123634.cnf.xz,04968ae349eaf9ea712e8b343e0358d8,station-repacking,unknown,None,677129,28634,10421596,3,675796,1,1,4,2,0,8,4,1310,675799,1333,1333,675796
b22f8f9f476d122ae3c7539f95f0c360,nomode,9,2e03f301fddbdb94,NA,0.140008,10752,/nfs/share/instances/gbd/cnf/b22f8f9f476d122ae3c7539f95f0c360-bibd-8-70-35-4-15_glb.cnf.xz,9a9c5b6afa86af8c191ef73d3d5b366b,unknown,unknown,main_2018,49878,10720,944460,0,14702,21656,9200,4320,0,0,0,0,0,27420,24112,356,11606
689dbe546e46b8c4d6ee0f891a36393c,nomode,9,4af4da15a2673d42,NA,0.987397,53100,/nfs/share/instances/gbd/cnf/689dbe546e46b8c4d6ee0f891a36393c-57-109948.cnf.xz,e450c27ffcf4eb181b639ae1153092d8,station-repacking,unknown,None,580294,26382,8898618,3,579069,1,1,4,2,0,8,3,1203,579072,1225,1225,579069
8dac4c76277a7c3f7adc945ea7674e2e,nomode,9,219a35c23eb61270,NA,1.38306,72084,/nfs/share/instances/gbd/cnf/8dac4c76277a7c3f7adc945ea7674e2e-41-126603.cnf.xz,92992f806884521dad87cc06934e5e6c,station-repacking,unknown,None,818210,31601,12634642,3,816738,1,1,5,2,0,8,6,1446,816741,1472,1472,816738
9ddf384d10199c4bc88a7329c2114a73,nomode,9,34fd406687143e1f,NA,0.305975,17760,/nfs/share/instances/gbd/cnf/9ddf384d10199c4bc88a7329c2114a73-VanDerWaerden_2-3-25_655.cnf.xz,ca0b53101ac501ab3db24c92b890ca48,waerden,unknown,None,115542,655,2532432,0,0,106929,0,0,0,0,0,0,8613,8613,106929,106929,8613
6f938f66ef1c0afb978082f80ebbba63,nomode,9,15f33015ad386634,NA,1.92046,95944,/nfs/share/instances/gbd/cnf/6f938f66ef1c0afb978082f80ebbba63-52-139142.cnf.xz,e600a615ec58f292def5d57bb6b6fdcf,station-repacking,unknown,None,1090267,36972,16907148,3,1088548,1,1,6,3,0,9,6,1690,1088551,1719,1719,1088548
