ID	max_iters	mode	hash	cpu_time_s	max_mem_kib
00213e27dabcf679205144f3dde5d37e	2	canon	71f2fea778616f6b	0.131579	0
00213e27dabcf679205144f3dde5d37e	2	raw	34cd7f8dc18e6b1b	0.109085	0
00213e27dabcf679205144f3dde5d37e	4	canon	71f2fea778616f6b	0.181562	0
00213e27dabcf679205144f3dde5d37e	4	raw	75d0e0dec90793fd	0.147127	0
00213e27dabcf679205144f3dde5d37e	6	canon	71f2fea778616f6b	0.163475	0
00213e27dabcf679205144f3dde5d37e	6	raw	75d0e0dec90793fd	0.137349	0
00213e27dabcf679205144f3dde5d37e	8	canon	71f2fea778616f6b	0.183064	0
00213e27dabcf679205144f3dde5d37e	8	raw	75d0e0dec90793fd	0.143068	0
0022f125b13bd7ccc91e793431c67a52	0	canon	dcea6bcd4e35b43b	9.00143	311244
0022f125b13bd7ccc91e793431c67a52	0	raw	dcea6bcd4e35b43b	12.4773	313116
0022f125b13bd7ccc91e793431c67a52	10	canon	564495eedf2633e1	224.42	775252
0022f125b13bd7ccc91e793431c67a52	10	raw	542dfc4c0a2c4d64	102.69	764136
0022f125b13bd7ccc91e793431c67a52	1	canon	a4b700e76082e53a	28.9401	612976
0022f125b13bd7ccc91e793431c67a52	1	raw	f66fba451c4644e0	16.2629	600896
0022f125b13bd7ccc91e793431c67a52	2	canon	218e9fee5bdfa998	51.0768	618060
0022f125b13bd7ccc91e793431c67a52	2	raw	5320c8b4dc74ffe4	26.2335	609508
0022f125b13bd7ccc91e793431c67a52	4	canon	46c8dcbd1a68cac2	95.2096	682396
0022f125b13bd7ccc91e793431c67a52	4	raw	02d2bbd70a7a58e1	42.3155	667648
0022f125b13bd7ccc91e793431c67a52	6	canon	0b1d4e3af4739aa9	145.402	737956
0022f125b13bd7ccc91e793431c67a52	6	raw	5a672b91e12fa661	66.1722	725824
0022f125b13bd7ccc91e793431c67a52	8	canon	57dba689798f6c51	186.238	764164
0022f125b13bd7ccc91e793431c67a52	8	raw	c7fba87689ca4ba7	79.9691	753896
0025a06f00f6e467f7cf4ef9e649b2a7	0	canon	ae884d79db0b00e5	1.19358	0
0025a06f00f6e467f7cf4ef9e649b2a7	0	raw	ae884d79db0b00e5	1.1933	0
0025a06f00f6e467f7cf4ef9e649b2a7	10	canon	f3e4eb1369f85520	36.1237	91740
0025a06f00f6e467f7cf4ef9e649b2a7	10	raw	3c97430802d29348	12.9123	89736
0025a06f00f6e467f7cf4ef9e649b2a7	1	canon	a08a73f2d97991de	4.63992	84580
0025a06f00f6e467f7cf4ef9e649b2a7	1	raw	b6feb30aacad8f69	2.52061	0
0025a06f00f6e467f7cf4ef9e649b2a7	2	canon	a1209bb9157bc860	6.5939	86952
0025a06f00f6e467f7cf4ef9e649b2a7	2	raw	62e9c73efffc7f70	3.68428	83844
0025a06f00f6e467f7cf4ef9e649b2a7	4	canon	d1010ee85a2b4028	10.9354	91424
0025a06f00f6e467f7cf4ef9e649b2a7	4	raw	ee57f3837fe0d9f0	6.03587	82556
0025a06f00f6e467f7cf4ef9e649b2a7	6	canon	344a0975e31b7421	18.1527	90792
0025a06f00f6e467f7cf4ef9e649b2a7	6	raw	81d5c938fade4f84	8.8913	89104
0025a06f00f6e467f7cf4ef9e649b2a7	8	canon	84c828d5b78cdc0e	21.3029	90660
0025a06f00f6e467f7cf4ef9e649b2a7	8	raw	f2ec8c7ddaaf1943	11.9611	89520
00260e67c792062bc3e10e6b94522101	0	canon	5407221d3766525d	2.82465	0
00260e67c792062bc3e10e6b94522101	0	raw	5407221d3766525d	2.98328	0
00260e67c792062bc3e10e6b94522101	10	canon	89a8fe0983eca784	57.8329	219080
00260e67c792062bc3e10e6b94522101	10	raw	512f12f0b0427c98	37.1385	218568
00260e67c792062bc3e10e6b94522101	1	canon	9f7535a7c56a7fd4	8.97456	182760
00260e67c792062bc3e10e6b94522101	1	raw	e85cf62a3635aeba	5.82809	135340
00260e67c792062bc3e10e6b94522101	2	canon	12a0c97047a5e37b	16.3695	193008
00260e67c792062bc3e10e6b94522101	2	raw	38c38302accf309b	4.16525	176392
00260e67c792062bc3e10e6b94522101	4	canon	5999f07d22e1de99	26.3124	210016
00260e67c792062bc3e10e6b94522101	4	raw	d7cce4b73b2b8a0a	17.9644	206684
00260e67c792062bc3e10e6b94522101	6	canon	4de42d2caa50f0f1	43.6291	208472
00260e67c792062bc3e10e6b94522101	6	raw	e03063db664ac75c	20.566	206720
00260e67c792062bc3e10e6b94522101	8	canon	6a536a4c1764b62d	47.6087	217952
00260e67c792062bc3e10e6b94522101	8	raw	351fecc40df86bc1	32.1921	205440
0026aaf8bbf2df73cb5db34a7b7a7a04	0	canon	b11d81edfd5f6a03	2.52201	0
0026aaf8bbf2df73cb5db34a7b7a7a04	0	raw	b11d81edfd5f6a03	2.64671	0
0026aaf8bbf2df73cb5db34a7b7a7a04	10	canon	8e9a09f03e73ca7c	51.8561	194580
0026aaf8bbf2df73cb5db34a7b7a7a04	10	raw	f701fa417478b8f8	37.4033	212164
0026aaf8bbf2df73cb5db34a7b7a7a04	1	canon	d018692e8518a299	9.47962	169236
0026aaf8bbf2df73cb5db34a7b7a7a04	1	raw	d27dc8fbd40ad2e5	5.03908	136332
0026aaf8bbf2df73cb5db34a7b7a7a04	2	canon	b795c701643345f0	14.4579	175216
0026aaf8bbf2df73cb5db34a7b7a7a04	2	raw	253fc095252fdbaf	5.48203	163776
0026aaf8bbf2df73cb5db34a7b7a7a04	4	canon	2ef957fbdd215cbe	24.2921	190976
0026aaf8bbf2df73cb5db34a7b7a7a04	4	raw	84805d237c20bb44	11.6127	174100
0026aaf8bbf2df73cb5db34a7b7a7a04	6	canon	338099520c9dd328	34.2172	191840
0026aaf8bbf2df73cb5db34a7b7a7a04	6	raw	0ccc0d8d41f21173	17.8645	189912
0026aaf8bbf2df73cb5db34a7b7a7a04	8	canon	0bfaa18e7789c8f2	45.0905	199116
0026aaf8bbf2df73cb5db34a7b7a7a04	8	raw	578756a9ba499ede	26.2302	198248
00274d0721d26f867b2573377712cac9	0	canon	6f0c76d703c09bb2	1.10965	0
00274d0721d26f867b2573377712cac9	0	raw	6f0c76d703c09bb2	0.820437	0
00274d0721d26f867b2573377712cac9	10	canon	2bb14fb8619aa973	25.8283	94452
00274d0721d26f867b2573377712cac9	10	raw	5924dd29937d4055	13.3611	86864
00274d0721d26f867b2573377712cac9	1	canon	62fce23da142628c	4.49108	82848
00274d0721d26f867b2573377712cac9	1	raw	7478e801ed5c9369	2.03524	0
00274d0721d26f867b2573377712cac9	2	canon	43b12ceaa05b45c8	8.30233	85220
00274d0721d26f867b2573377712cac9	2	raw	4709b5c5c1282217	2.95911	0
00274d0721d26f867b2573377712cac9	4	canon	9d9a08c553a72ff8	15.7461	87668
00274d0721d26f867b2573377712cac9	4	raw	ebe4ce4bba6ebe7a	5.2742	81144
00274d0721d26f867b2573377712cac9	6	canon	1cbd7d9fe3e373b3	18.9859	86024
00274d0721d26f867b2573377712cac9	6	raw	3d65f3cfa23d34c8	7.77437	86996
00274d0721d26f867b2573377712cac9	8	canon	2095e63a7095ebae	23.4321	89332
00274d0721d26f867b2573377712cac9	8	raw	afd66e0d4279c0fd	11.2229	86764
00275f3018d50ba38867268739dfc44f	0	canon	77a7b6237c2bb342	0.016079	0
00275f3018d50ba38867268739dfc44f	0	raw	77a7b6237c2bb342	0.016331	0
00275f3018d50ba38867268739dfc44f	10	canon	c2a0dae318847a53	0.07575	0
00275f3018d50ba38867268739dfc44f	10	raw	7d70a2e3d8c2ae0a	0.056407	0
00275f3018d50ba38867268739dfc44f	1	canon	9e0c2c15db412ef6	0.018928	0
00275f3018d50ba38867268739dfc44f	1	raw	890a9e9dd555d8e0	0.022368	0
00275f3018d50ba38867268739dfc44f	2	canon	b2e1fed6f9b49304	0.032722	0
00275f3018d50ba38867268739dfc44f	2	raw	2018759830f90ade	0.028494	0
00275f3018d50ba38867268739dfc44f	4	canon	c2a0dae318847a53	0.061336	0
00275f3018d50ba38867268739dfc44f	4	raw	a65c5c4b5a7c25a4	0.044661	0
00275f3018d50ba38867268739dfc44f	6	canon	c2a0dae318847a53	0.066841	0
00275f3018d50ba38867268739dfc44f	6	raw	7d70a2e3d8c2ae0a	0.054287	0
00275f3018d50ba38867268739dfc44f	8	canon	c2a0dae318847a53	0.072499	0
00275f3018d50ba38867268739dfc44f	8	raw	7d70a2e3d8c2ae0a	0.055457	0
002a0330958a14deb23dcc84b5489e8a	0	canon	61bf386460a01167	3.66939	92792
002a0330958a14deb23dcc84b5489e8a	0	raw	61bf386460a01167	3.47317	90984
002a0330958a14deb23dcc84b5489e8a	10	canon	6cb2e0c78da32b31	56.0925	225596
002a0330958a14deb23dcc84b5489e8a	10	raw	6d6eee036499dc50	28.8682	222424
002a0330958a14deb23dcc84b5489e8a	1	canon	7dd802b7ec9c7d8f	11.1611	186868
002a0330958a14deb23dcc84b5489e8a	1	raw	bd97b9119d1a13ee	6.246	166496
002a0330958a14deb23dcc84b5489e8a	2	canon	62ab92fe9c68ece6	17.2792	210340
002a0330958a14deb23dcc84b5489e8a	2	raw	7fa15e589df54818	8.82462	208736
002a0330958a14deb23dcc84b5489e8a	4	canon	52f9394602d4dba2	25.6999	223040
002a0330958a14deb23dcc84b5489e8a	4	raw	460380ed0a9f3ef1	14.1903	216952
002a0330958a14deb23dcc84b5489e8a	6	canon	4e19e171eaff5db4	32.3019	224112
002a0330958a14deb23dcc84b5489e8a	6	raw	eca299914bb969f1	22.512	223024
002a0330958a14deb23dcc84b5489e8a	8	canon	cc211e06e9bb84d4	46.3921	222928
002a0330958a14deb23dcc84b5489e8a	8	raw	299dbfc29ddbeece	23.856	221656
002bed2572e6e326815e674f288de8b4	0	canon	5ef0226928f80bc5	0.039914	0
002bed2572e6e326815e674f288de8b4	0	raw	5ef0226928f80bc5	0.04101	0
002bed2572e6e326815e674f288de8b4	10	canon	74fc5accef63532a	0.506397	0
002bed2572e6e326815e674f288de8b4	10	raw	db51a701ea60d8af	0.29364	0
002bed2572e6e326815e674f288de8b4	1	canon	1bdb7875155a939a	0.077288	0
002bed2572e6e326815e674f288de8b4	1	raw	0d9e74e2249987d0	0.075967	0
002bed2572e6e326815e674f288de8b4	2	canon	ed3fe0710ea8385f	0.18714	0
002bed2572e6e326815e674f288de8b4	2	raw	2551506193ab16d0	0.1102	0
002bed2572e6e326815e674f288de8b4	4	canon	fcc9c84bee9e68d4	0.219961	0
002bed2572e6e326815e674f288de8b4	4	raw	c88435b31abe21f6	0.193542	0
002bed2572e6e326815e674f288de8b4	6	canon	be693d75193afab3	0.316322	0
002bed2572e6e326815e674f288de8b4	6	raw	dec33f3b70bbf820	0.18517	0
002bed2572e6e326815e674f288de8b4	8	canon	440b8f18f2e762bc	0.410595	0
002bed2572e6e326815e674f288de8b4	8	raw	facf7455e5d3101d	0.238009	0
003154fc91d34d29ec5cf93b0bc32143	0	canon	9c6c3fc4334d1593	0.688283	0
003154fc91d34d29ec5cf93b0bc32143	0	raw	9c6c3fc4334d1593	0.66753	0
003154fc91d34d29ec5cf93b0bc32143	10	canon	91c04fbb72859459	16.7307	78364
003154fc91d34d29ec5cf93b0bc32143	10	raw	ca5e6c4553d276c7	9.53971	78808
003154fc91d34d29ec5cf93b0bc32143	1	canon	6030d505be17fe67	2.29263	0
003154fc91d34d29ec5cf93b0bc32143	1	raw	3b365205a86b1ea9	1.33741	0
