hash	mode	neigh_hop	advanced_sort	sum_sort	wlhash	stabilized_at	cpu_time_s	max_mem_kib
00be590675417eba2bb2585790ac392d	none	0	0	0	4d67bfe0ce63ef78	6	0.363426	7680
00c4c1dfa04e7cd8b7abc80a4a4f7153	none	0	0	0	ead3d2789f23bbe5	4	0.112358	0
00d0eef039aa1f9cf1cf2647a58fe313	none	0	0	0	58c83a603fbf6e81	4	2.5478	0
00d1fe07ab948b348bb3fb423b1ef40d	none	0	0	0	0100995234908c80	16	0.769027	10240
00d239e486137a4f7264adb4fb57d5ae	none	0	0	0	c960dd85d83576f1	10	0.031173	0
00d25e6106c5c09bb5d8d0f7eae7385a	none	0	0	0	NA	NA	0.39	NA
00d3338cd6cdfa099ff29f036c77d93d	none	0	0	0	NA	NA	NA	NA
00063d88244921d6ec46aeab6866a8e2	neigh	1	0	0	b532d747f3726fb7	14	35.9087	115588
00072cf107ae1349c8c59a15c5ce4af1	neigh	1	0	0	59e2c95d1257177a	3	0.072578	0
00076733bdbce94d7e44eca84f1425f0	neigh	1	0	0	NA	NA	2.43	NA
000781b7a545fe723159e53127aff659	neigh	1	0	0	NA	NA	2.44	NA
000a41cdca43be89ed62ea3abf2d0b64	neigh	1	0	0	NA	NA	2.38	NA
000e4e0db67e27083649c20a2a3f761b	neigh	1	0	0	NA	NA	3.31	NA
00107d84f57e2371476a7b2cabe0b351	neigh	1	0	0	NA	NA	4.17	NA
001304ba2e4e8adbd179aa3d8acb697b	neigh	1	0	0	fff13c5329ea233d	3	0.071796	0
001344c9b3cb1626af1c7c35155cf26a	neigh	1	0	0	NA	NA	3.4	NA
0020aa0c69379226948904ad455b6c09	neigh	1	0	0	442f0940018f6a81	3	15.3194	117952
00213e27dabcf679205144f3dde5d37e	neigh	1	0	0	ec952cde871eb33e	3	2.88363	0
0022f125b13bd7ccc91e793431c67a52	neigh	1	0	0	NA	NA	3.7	NA
0025a06f00f6e467f7cf4ef9e649b2a7	neigh	1	0	0	a258dbba99cf0c89	21	190.459	337180
00260e67c792062bc3e10e6b94522101	neigh	1	0	0	NA	NA	3.6	NA
0026aaf8bbf2df73cb5db34a7b7a7a04	neigh	1	0	0	NA	NA	3.7	NA
00274d0721d26f867b2573377712cac9	neigh	1	0	0	d5ae95e3867b5c01	8	93.3936	430812
00275f3018d50ba38867268739dfc44f	neigh	1	0	0	ee2ca85fea92efe8	3	0.099651	0
002a0330958a14deb23dcc84b5489e8a	neigh	1	0	0	NA	NA	3.49	NA
002bed2572e6e326815e674f288de8b4	neigh	1	0	0	42a1d05b151206fd	11	1.21407	0
003154fc91d34d29ec5cf93b0bc32143	neigh	1	0	0	6f86f4474177d4a9	13	239.604	558232
00316e383123773ae35d3210f5396205	neigh	1	0	0	208280479122802c	3	0.275449	0
0033baadbd48d3f880e9b5a733bd4950	neigh	1	0	0	2ff1ab069eb1ebee	1	0.034097	0
0035666407d4ccb5082630045d60a5fe	neigh	1	0	0	1b2b5aab51b5b0bf	3	3.56223	0
0038cea06eae4c3234b7bb65d9a8497c	neigh	1	0	0	889ec080d06b84bc	3	25.2314	174080
003a77d2aa15a5f93aa2cfe79b986c9e	neigh	1	0	0	22aaa4a85226b2eb	2	7.06746	17920
003de2086be59a5fb7a7aaad0992cf47	neigh	1	0	0	e0743d502be6472c	4	0.262132	0
003deabca05a76f3ee449221a80d8b62	neigh	1	0	0	NA	NA	3.82	NA
0041051c73dcdd885d412a38e8b09fba	neigh	1	0	0	8e551e6a60ad9021	3	1.04554	0
0041f01bcd7d0d1f9541cea6da79ad57	neigh	1	0	0	b1a453697068b3c0	4	52.037	431572
0042a627dfba7daa62d6ce175540c8a2	neigh	1	0	0	4c50d6fb46f0b4c4	3	3.47499	0
0043cfdde474fa37dfeb5ce5952d22f6	neigh	1	0	0	66337384ec6ce0cb	3	0.234379	0
0049919cdf9556bfda5bb365af72414c	neigh	1	0	0	NA	NA	3.98	NA
004b0f451f7d96f6a572e9e76360f51a	neigh	1	0	0	NA	NA	3.81	NA
005093e294b0ed0f7b23f341ff68968b	neigh	1	0	0	NA	NA	4.08	NA
00547b9476397463c8220560aeeea086	neigh	1	0	0	NA	NA	3.93	NA
005522cf558f9b77ed345a289384e191	neigh	1	0	0	e96826a43dfb5a29	3	0.172939	0
00597fb425e994af7a9d224ef4d09fc4	neigh	1	0	0	NA	NA	4.04	NA
0059d4b1cf79efbc6e6ed50caee0448e	neigh	1	0	0	d7f78b5e5da98419	6	1.05028	0
005ccb378ced61c02105ed7ee0a62038	neigh	1	0	0	08088d7aec5e2599	1	57.097	16640
005d76c0f37b33d8b752f7ebdd157a99	neigh	1	0	0	6fbc73397b6f6f82	3	0.179229	0
00613b57720df18bec8d8dc68dc57a7b	neigh	1	0	0	NA	NA	3.38	NA
