id	mode	max_iters	wlhash	stabilized_at	cpu_time_s	max_mem_kib
0026aaf8bbf2df73cb5db34a7b7a7a04	none	10	f701fa417478b8f8	NA	32.1994	198084
0026aaf8bbf2df73cb5db34a7b7a7a04	none	11	1b97924af69fd8c3	NA	33.9283	200336
0026aaf8bbf2df73cb5db34a7b7a7a04	none	12	b29bc021568faf2a	NA	36.7727	214772
0026aaf8bbf2df73cb5db34a7b7a7a04	none	2	253fc095252fdbaf	NA	5.71647	163924
0026aaf8bbf2df73cb5db34a7b7a7a04	none	3	6da3264fb0e92950	NA	11.4408	175832
0026aaf8bbf2df73cb5db34a7b7a7a04	none	4	84805d237c20bb44	NA	11.2663	188452
0026aaf8bbf2df73cb5db34a7b7a7a04	none	5	db4dcf6df5162440	NA	14.6991	188136
0026aaf8bbf2df73cb5db34a7b7a7a04	none	6	0ccc0d8d41f21173	NA	18.4564	189544
0026aaf8bbf2df73cb5db34a7b7a7a04	none	7	e6134396d4a7f3d9	NA	23.2436	189916
0026aaf8bbf2df73cb5db34a7b7a7a04	none	8	578756a9ba499ede	NA	27.5128	195112
0026aaf8bbf2df73cb5db34a7b7a7a04	none	9	550b940d37a3a7e3	NA	31.1792	196164
00274d0721d26f867b2573377712cac9	none	1	7478e801ed5c9369	NA	1.8486	0
00274d0721d26f867b2573377712cac9	none	10	5924dd29937d4055	NA	13.3072	88244
00274d0721d26f867b2573377712cac9	none	11	f743949569b86f9e	NA	13.6569	86280
00274d0721d26f867b2573377712cac9	none	12	02a2085952105244	NA	13.9353	88256
00274d0721d26f867b2573377712cac9	none	2	4709b5c5c1282217	NA	3.50038	0
00274d0721d26f867b2573377712cac9	none	3	d3120e7f0a9489cc	NA	5.48633	84584
00274d0721d26f867b2573377712cac9	none	4	ebe4ce4bba6ebe7a	NA	5.77703	83980
00274d0721d26f867b2573377712cac9	none	5	1666a467d57a04f0	NA	7.31165	86496
00274d0721d26f867b2573377712cac9	none	6	3d65f3cfa23d34c8	NA	7.86489	86540
00274d0721d26f867b2573377712cac9	none	7	c99ec769dcd5cd56	NA	8.97793	87164
00274d0721d26f867b2573377712cac9	none	8	afd66e0d4279c0fd	NA	10.0565	86564
00274d0721d26f867b2573377712cac9	none	9	0da184a5704e8d34	NA	11.237	87636
00275f3018d50ba38867268739dfc44f	none	1	890a9e9dd555d8e0	NA	0.021937	0
00275f3018d50ba38867268739dfc44f	none	10	7d70a2e3d8c2ae0a	5	0.037219	0
00275f3018d50ba38867268739dfc44f	none	11	7d70a2e3d8c2ae0a	5	0.038031	0
