hash	mode	wlhash	stabilized_at	cpu_time_s	max_mem_kib	local	isohash	family	result	clauses	variables	bytes	cls1	cls2	cls3	cls4	cls5	cls6	cls7	cls8	cls9	cls10p	horn	invhorn	positive	negative
00e32767bee1894beb0b71867f279d36	neigh	f7f5efe7b9b08ee6	13	1417.08	3781408	/nfs/share/instances/gbd/cnf/00e32767bee1894beb0b71867f279d36-48-136923.cnf.xz	7be8849a6dd0d5ecf129ff7de147769d	station-repacking	unknown	1135889	37961	17624244	3	1134125	2	1	5	3	0	10	5	1735	1134128	1764	1764	1134125
00e45ab8a1baf16155af6e59c3df5dbb	neigh	ab83525469eab0cf	4	0.363899	0	/nfs/share/instances/gbd/cnf/00e45ab8a1baf16155af6e59c3df5dbb-x9-11092.sat.sanitized.cnf.xz	fbd9767b87568fb21925ce9cdc75ef29	hamiltonian	unknown	4950	550	61494	0	4510	0	110	220	110	0	0	0	0	4510	440	440	4510
00e5aac4701e62ae50c9f1504057fce8	neigh	1e6055d9cf452708	10	1.75155	10240	/nfs/share/instances/gbd/cnf/00e5aac4701e62ae50c9f1504057fce8-bench_10701.smt2.cnf.xz	59892222332be61cacd06e08943bd5ac	agile	unknown	9720	2816	148223	8	3630	5698	384	0	0	0	0	0	0	5628	5598	2980	749
00e974264f8f9048b68c983f36643115	neigh	7cfe8a7d1d325f61	13	448.224	1337892	/nfs/share/instances/gbd/cnf/00e974264f8f9048b68c983f36643115-47-108545.cnf.xz	6992f2cb21e2b75e7bf6742389baa01d	station-repacking	unknown	565820	26093	8672884	3	564612	1	1	4	2	0	8	2	1187	564615	1208	1208	564612
00ec2992d59f85705eb8e1f4f1e01b3d	neigh	6d4562734738ebc5	1	0.013436	0	/nfs/share/instances/gbd/cnf/00ec2992d59f85705eb8e1f4f1e01b3d-sgen4-sat-280-8.cnf.xz	d0e5d8d44a8534076afaec8a6d0f6960	sgen	sat	672	280	8240	0	560	0	0	112	0	0	0	0	0	444	437	142	145
00ecd19c442956ff9a22584fd9bf439e	neigh	0b10d6f63ccff003	3	1.31189	11520	/nfs/share/instances/gbd/cnf/00ecd19c442956ff9a22584fd9bf439e-unif-k3-r4.267-v5200-c22188-S8832663068472759902.cnf.xz	08820662453c916fb282278a763e244c	uniform-random	unknown	22188	5200	396361	0	0	22188	0	0	0	0	0	0	0	11060	11128	2720	2787
00063d88244921d6ec46aeab6866a8e2	adv	ea8fa0f0ecfb333e	26	8.98312	32216	/nfs/share/instances/gbd/cnf/00063d88244921d6ec46aeab6866a8e2-6s16.cnf.xz	d642ae7fc5e1fd972d4b130407ea4519	miter	unsat	91888	31486	1503071	1	61258	30629	0	0	0	0	0	0	0	68623	47944	13315	36581
00072cf107ae1349c8c59a15c5ce4af1	adv	9e072dca530d7a40	4	0.02781	0	/nfs/share/instances/gbd/cnf/00072cf107ae1349c8c59a15c5ce4af1-unif-c1275-v300-s428434218.cnf.xz	1ef05341ba4017bd107a9b2aa6bb2841	uniform-random	unknown	1275	300	18322	0	0	1275	0	0	0	0	0	0	0	624	651	176	156
00076733bdbce94d7e44eca84f1425f0	adv	5dac3f1f46833edc	9	45.3967	327036	/nfs/share/instances/gbd/cnf/00076733bdbce94d7e44eca84f1425f0-vlsat2_16297_1562268.dimacs.cnf.xz	a10da8b861b1e1a1a17af27060e94f6e	petrinet-concurrency	unsat	1562268	16297	22875440	1	1561890	1	1	1	1	1	1	1	370	1561890	379	379	1561889
000781b7a545fe723159e53127aff659	adv	45a7d68952db5ce9	24	59.5763	154728	/nfs/share/instances/gbd/cnf/000781b7a545fe723159e53127aff659-42-121369.cnf.xz	8bf4adb12d796e486a0915ecd7dce20f	station-repacking	unknown	653485	28135	10044450	3	652176	1	1	4	2	0	9	4	1285	652179	1309	1309	652176
